"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD"
"78" "2014-01-18" 123 79 38 3.38930176209303 0.676490582970563 3.04428984208591 0.420461268901712
"77" "2014-01-11" 141 91 46 3.40403172304096 0.592777188266039 2.79200795072011 0.44652024398524
"76" "2014-01-04" 139 87 45 3.4764048059884 0.530918297623411 2.96991017532312 0.512275891653821
"75" "2013-12-28" 80 50 24 3.37951827116856 0.530821159301834 2.88420551168426 0.474796359218112
"74" "2013-12-21" 69 46 22 3.34263426924519 0.521437649721707 3.02387224772944 0.389096626755181
"73" "2013-12-14" 59 43 15 3.56579876553974 0.62206063391078 2.87598737259679 0.320164465765945
"72" "2013-12-07" 96 64 26 3.4610821635068 0.612155837639149 3.19213111972958 0.50275764301976
"71" "2013-11-30" 89 67 21 3.60616124928829 0.686807379558259 3.16046397387765 0.422458336155086
"70" "2013-11-23" 92 59 31 3.50107080233981 0.506638707115859 2.93085434706621 0.397389363638713
"69" "2013-11-16" 121 77 42 3.52531554730025 0.608755053562896 3.14941899719919 0.488040229233696
"68" "2013-11-09" 105 65 35 3.57646884680929 0.515151528122538 3.12469441039901 0.406078176989004
"67" "2013-11-02" 109 72 36 3.52915864793651 0.55220399812291 3.03536149605424 0.433363658383573
"66" "2013-10-26" 103 68 33 3.16997596023073 0.508396271058079 2.78307189179431 0.337519764220929
"65" "2013-10-19" 136 85 43 3.55017432133739 0.573388722345202 3.0143923273645 0.44521638359525
"64" "2013-10-12" 114 67 41 3.63097662655715 0.59913135731931 3.02875473212328 0.475824445386457
"63" "2013-10-05" 119 77 40 3.43664268146341 0.552230708390932 2.95002819689024 0.563242526618388
"62" "2013-09-28" 92 57 34 3.36271910413312 0.560835614967523 2.7166872900561 0.435304307621686
"61" "2013-09-21" 103 69 28 3.58621133341262 0.58482989752311 2.97054156557096 0.531893566303968
"60" "2013-09-14" 114 80 31 3.57349708574043 0.603329230422901 2.99654020169161 0.555470861074004
"59" "2013-09-07" 113 80 29 3.36949182461547 0.544741559267783 3.00340326435572 0.531329759856965
"58" "2013-08-31" 138 92 42 3.4697044555253 0.625018795990864 2.93243860898657 0.470018244672747
"57" "2013-08-24" 99 63 34 3.61113061554472 0.626950989241713 3.01710471880403 0.512465335110174
"56" "2013-08-17" 117 73 38 3.67941849838729 0.540137903680654 3.01563103162464 0.406025529267906
"55" "2013-08-03" 127 84 35 3.42874072758557 0.586882458024349 3.04264762752884 0.493204750081523
"54" "2013-07-27" 122 81 36 3.47156221578633 0.541140896354693 3.00183290370539 0.532510741384636
"53" "2013-07-20" 106 73 32 3.63401671234426 0.599334770246451 2.98087478652213 0.500531290019579
"52" "2013-07-13" 181 114 61 3.42908509529043 0.622513778163376 2.71720205731963 0.394995414312031
"51" "2013-07-06" 113 76 36 3.54004716110001 0.603553593897449 3.17365233597452 0.550323689209122
"50" "2013-06-29" 94 58 36 3.62912748789777 0.546331329737693 3.09272478961355 0.537923079809485
"49" "2013-06-22" 106 57 40 3.4169745565699 0.571051662695014 3.01920578602698 0.491790313157432
"48" "2013-06-15" 119 75 40 3.56015897340308 0.526381285357587 3.01057140892426 0.54254011659201
"47" "2013-06-08" 111 71 40 3.50450946831657 0.59992291621137 2.94361770346528 0.509938614627921
"46" "2013-06-01" 98 61 31 3.62276937508966 0.555033719164163 3.00292691030333 0.626673907555132
"45" "2013-05-25" 110 67 42 3.55018872952796 0.562979512244853 2.96599913551811 0.492227602615981
"44" "2013-05-18" 71 45 23 3.57120755973047 0.583446777834905 2.94434278019923 0.467947441849571
"43" "2013-05-11" 124 74 47 3.5406894293381 0.488781320187484 3.03912932320297 0.567991302490652
"42" "2013-05-04" 134 69 59 3.43917960637263 0.618309058988027 3.02480109480223 0.373072371768581
"41" "2013-04-27" 88 49 36 3.44048409924274 0.546434421395141 2.83183717603028 0.510431380437833
"40" "2013-04-20" 118 62 53 3.34013472261028 0.60554178886106 2.90217074710873 0.537704389193952
"39" "2013-04-13" 139 78 55 3.52991279038053 0.582098447904573 2.88375702334148 0.602986253711864
"38" "2013-04-06" 105 57 46 3.3187906565339 0.569048215507756 2.8977034518168 0.531131042762589
"37" "2013-03-30" 95 62 32 3.38385171621593 0.662073232580886 2.86420107336571 0.610334266485493
"36" "2013-03-23" 68 43 25 3.32639370524982 0.552674870289709 2.90565948312365 0.475102904132495
"35" "2013-03-16" 100 59 36 3.44443794845384 0.55986745505857 2.82687407246131 0.571689112513704
"34" "2013-03-09" 95 56 39 3.67339549162008 0.551957517004396 2.62118550139681 0.592155207376859
"33" "2013-03-02" 96 53 41 3.59569096617752 0.594396087591522 2.92894144214726 0.610420115814711
"32" "2013-02-23" 51 30 21 3.26691288877265 0.531590469096084 2.65317707135564 0.405102325460291
"31" "2013-02-16" 97 63 32 3.63213678917407 0.473636175655958 3.06101171709043 0.479958104811572
